"","state_name","n_row","na_value_percentage"
"1","Alaska",493,100
"2","Alabama",1139,5.61896400351185
"3","Arkansas",1275,100
"4","Arizona",255,38.8235294117647
"5","California",986,24.1379310344828
"6","Colorado",1088,17.1875
"7","Connecticut",136,62.5
"8","District of Columbia",17,52.9411764705882
"9","Delaware",51,1.96078431372549
"10","Florida",1139,18.612818261633
"11","Georgia",2703,24.0843507214206
"12","Hawaii",85,41.1764705882353
"13","Iowa",1683,5.16934046345811
"14","Idaho",748,8.42245989304813
"15","Illinois",1734,6.22837370242215
"16","Indiana",1564,16.9437340153453
"17","Kansas",1785,2.24089635854342
"18","Kentucky",2040,19.2647058823529
"19","Louisiana",1088,47.8860294117647
"20","Massachusetts",238,31.9327731092437
"21","Maryland",408,77.9411764705882
"22","Maine",272,9.92647058823529
"23","Michigan",1411,12.68603827073
"24","Minnesota",1479,21.6362407031778
"25","Missouri",1955,7.10997442455243
"26","Mississippi",1394,17.0731707317073
"27","Montana",952,9.2436974789916
"28","North Carolina",1700,11.8235294117647
"29","North Dakota",901,100
"30","Nebraska",1581,8.03289057558507
"31","New Hampshire",170,53.5294117647059
"32","New Jersey",357,7.56302521008403
"33","New Mexico",561,19.7860962566845
"34","Nevada",289,17.6470588235294
"35","New York",1054,64.7058823529412
"36","Ohio",1496,7.75401069518717
"37","Oklahoma",1309,5.11841100076394
"38","Oregon",612,5.22875816993464
"39","Pennsylvania",1139,1.49253731343284
"40","Rhode Island",85,64.7058823529412
"41","South Carolina",782,57.8005115089514
"42","South Dakota",1122,100
"43","Tennessee",1615,23.4674922600619
"44","Texas",4318,16.6049096804076
"45","Alabama",53436,22.6382962796617
"46","Utah",493,6.89655172413793
"47","Virginia",2283,8.27858081471748
"48","Vermont",238,17.6470588235294
"49","Washington",663,24.2835595776772
"50","Wisconsin",1224,2.28758169934641
"51","West Virginia",935,17.5401069518717
"52","Wyoming",391,30.690537084399
